# Two-Phase Commit: 1 Coordinator + 3 Participants
# total_events: 10000
# process_count: 4
# system_processes: C|P1|P2|P3
# Full transactions: 302 (33 events each, jittered timing)
# Partial transaction events: 30
# Random seed: 5
# Per-transaction ε-sensitive cluster (VC-concurrent; timing-ordered, FROZEN):
#   vote_yes_P2 t+2.50 | vote_yes_P1 t+2.70 | prepared_P1 t+2.75
#   prepared_P2 t+2.80 | vote_yes_P3 t+3.00 | prepared_P3 t+3.05
# Critical gap: Δ(prepared_P3, prepared_P2) = 0.25
# Property: TRUE S (prepared_P3 & @vote_yes_P2)
#   SAT  when ε >= 0.25 (prepared_P3 and prepared_P2 commutable)
#   VIOL when ε <  0.25 (prepared_P2 forced before prepared_P3)
eid,processes,vc,timestamp,props,event_type,msg_partner
iota_C,C,C:1;P1:0;P2:0;P3:0,0.000,init,local,
iota_P1,P1,C:0;P1:1;P2:0;P3:0,0.000,init,local,
iota_P2,P2,C:0;P1:0;P2:1;P3:0,0.000,init,local,
iota_P3,P3,C:0;P1:0;P2:0;P3:1,0.000,init,local,
begin_tx_01,C,C:2;P1:0;P2:0;P3:0,1.007,,local,
prepare_P1_01,C,C:3;P1:0;P2:0;P3:0,1.115,,send,P1
prepare_P2_01,C,C:4;P1:0;P2:0;P3:0,1.218,,send,P2
prepare_P3_01,C,C:5;P1:0;P2:0;P3:0,1.327,,send,P3
recv_prep_P1_01,P1,C:3;P1:2;P2:0;P3:0,2.014,,receive,C
recv_prep_P2_01,P2,C:4;P1:0;P2:2;P3:0,2.125,,receive,C
recv_prep_P3_01,P3,C:5;P1:0;P2:0;P3:2,2.172,,receive,C
vote_yes_P2_01,P2,C:4;P1:0;P2:3;P3:0,2.500,vote_yes_P2,local,
vote_yes_P1_01,P1,C:3;P1:3;P2:0;P3:0,2.700,vote_yes_P1,local,
prepared_P1_01,P1,C:3;P1:4;P2:0;P3:0,2.750,prepared_P1,local,
prepared_P2_01,P2,C:4;P1:0;P2:4;P3:0,2.800,prepared_P2,local,
vote_yes_P3_01,P3,C:5;P1:0;P2:0;P3:3,3.000,vote_yes_P3,local,
prepared_P3_01,P3,C:5;P1:0;P2:0;P3:4,3.050,prepared_P3,local,
send_yes_P1_01,P1,C:3;P1:5;P2:0;P3:0,3.297,,send,C
send_yes_P2_01,P2,C:4;P1:0;P2:5;P3:0,3.444,,send,C
send_yes_P3_01,P3,C:5;P1:0;P2:0;P3:5,3.515,,send,C
recv_yes_P1_01,C,C:6;P1:5;P2:0;P3:0,4.040,,receive,P1
recv_yes_P2_01,C,C:7;P1:5;P2:5;P3:0,4.061,,receive,P2
recv_yes_P3_01,C,C:8;P1:5;P2:5;P3:5,4.197,,receive,P3
decide_commit_01,C,C:9;P1:5;P2:5;P3:5,4.475,committed,local,
commit_cmd_P1_01,C,C:10;P1:5;P2:5;P3:5,4.704,,send,P1
commit_cmd_P2_01,C,C:11;P1:5;P2:5;P3:5,4.807,,send,P2
commit_cmd_P3_01,C,C:12;P1:5;P2:5;P3:5,4.851,,send,P3
recv_commit_P1_01,P1,C:10;P1:6;P2:5;P3:5,5.472,,receive,C
recv_commit_P2_01,P2,C:11;P1:5;P2:6;P3:5,5.578,,receive,C
recv_commit_P3_01,P3,C:12;P1:5;P2:5;P3:6,5.742,,receive,C
local_commit_P1_01,P1,C:10;P1:7;P2:5;P3:5,6.027,local_commit_P1,local,
local_commit_P2_01,P2,C:11;P1:5;P2:7;P3:5,6.066,local_commit_P2,local,
local_commit_P3_01,P3,C:12;P1:5;P2:5;P3:7,6.230,local_commit_P3,local,
ack_P1_01,P1,C:10;P1:8;P2:5;P3:5,6.464,,send,C
ack_P2_01,P2,C:11;P1:5;P2:8;P3:5,6.612,,send,C
ack_P3_01,P3,C:12;P1:5;P2:5;P3:8,6.663,,send,C
tx_done_01,C,C:13;P1:5;P2:5;P3:5,7.450,,local,
begin_tx_02,C,C:14;P1:5;P2:5;P3:5,9.354,,local,
prepare_P1_02,C,C:15;P1:5;P2:5;P3:5,9.454,,send,P1
prepare_P2_02,C,C:16;P1:5;P2:5;P3:5,9.600,,send,P2
prepare_P3_02,C,C:17;P1:5;P2:5;P3:5,9.694,,send,P3
recv_prep_P1_02,P1,C:15;P1:9;P2:5;P3:5,10.359,,receive,C
