# Generated RACE-style airspace monitoring trace
# total_events: 1000
# process_count: 5
# system_processes: A1|A2|A3|A4|A5
# epsilon: 1.0
eid,processes,vc,timestamp,props,event_type,msg_partner
a1_1,A1,A1:1;A2:0;A3:0;A4:0;A5:0,0.0,pos_update|safe_A1A2|safe_A1A3|safe_A1A4|safe_A1A5,local,
a2_1,A2,A1:0;A2:1;A3:0;A4:0;A5:0,0.0,pos_update|safe_A1A2|safe_A2A3|safe_A2A4|safe_A2A5,local,
a3_1,A3,A1:0;A2:0;A3:1;A4:0;A5:0,0.0,pos_update|safe_A1A3|safe_A2A3|safe_A3A4|safe_A3A5,local,
a4_1,A4,A1:0;A2:0;A3:0;A4:1;A5:0,0.0,pos_update|safe_A1A4|safe_A2A4|safe_A3A4|safe_A4A5,local,
a5_1,A5,A1:0;A2:0;A3:0;A4:0;A5:1,0.0,pos_update|safe_A1A5|safe_A2A5|safe_A3A5|safe_A4A5,local,
a1_2,A1,A1:2;A2:0;A3:0;A4:0;A5:0,1.0,pos_update|safe_A1A2|safe_A1A3|safe_A1A4|safe_A1A5,local,
a2_2,A2,A1:0;A2:2;A3:0;A4:0;A5:0,1.0,pos_update|safe_A1A2|safe_A2A3|safe_A2A4|safe_A2A5,local,
a3_2,A3,A1:0;A2:0;A3:2;A4:0;A5:0,1.0,pos_update|safe_A1A3|safe_A2A3|safe_A3A4|safe_A3A5,local,
a4_2,A4,A1:0;A2:0;A3:0;A4:2;A5:0,1.0,pos_update|safe_A1A4|safe_A2A4|safe_A3A4|safe_A4A5,local,
a5_2,A5,A1:0;A2:0;A3:0;A4:0;A5:2,1.0,pos_update|safe_A1A5|safe_A2A5|safe_A3A5|safe_A4A5,local,
a1_3,A1,A1:3;A2:0;A3:0;A4:0;A5:0,2.0,pos_update|safe_A1A2|safe_A1A3|safe_A1A4|safe_A1A5,local,
a2_3,A2,A1:0;A2:3;A3:0;A4:0;A5:0,2.0,pos_update|safe_A1A2|safe_A2A3|safe_A2A4|safe_A2A5,local,
