# Generated drone relative-velocity trace
# total_events: 10000
# drone_count: 2
# system_processes: Drone1|Drone2
eid,processes,vc,timestamp,props,event_type,msg_partner
d1_init,Drone1,Drone1:1;Drone2:0,0.0,stable,local,
d2_init,Drone2,Drone1:0;Drone2:1,0.0,stable,local,
d1_measure_01,Drone1,Drone1:2;Drone2:0,1.0,velocity_measured,local,
d1_send_d2_01,Drone1,Drone1:3;Drone2:0,1.2,velocity_sent,send,Drone2
d2_recv_d1_01,Drone2,Drone1:3;Drone2:2,2.0,processing,receive,Drone1
d2_compute_01,Drone2,Drone1:3;Drone2:3,2.5,relative_computed,local,
d2_send_d1_01,Drone2,Drone1:3;Drone2:4,3.0,relative_sent,send,Drone1
d1_recv_d2_01,Drone1,Drone1:4;Drone2:4,4.0,relative_confirmed,receive,Drone2
d1_measure_02,Drone1,Drone1:5;Drone2:4,6.0,velocity_measured,local,
d1_send_d2_02,Drone1,Drone1:6;Drone2:4,6.2,velocity_sent,send,Drone2
d2_recv_d1_02,Drone2,Drone1:6;Drone2:5,7.0,processing,receive,Drone1
d2_compute_02,Drone2,Drone1:6;Drone2:6,7.5,relative_computed,local,
d2_send_d1_02,Drone2,Drone1:6;Drone2:7,8.0,relative_sent,send,Drone1
d1_recv_d2_02,Drone1,Drone1:7;Drone2:7,9.0,relative_confirmed,receive,Drone2
d1_measure_03,Drone1,Drone1:8;Drone2:7,11.0,velocity_measured,local,
d1_send_d2_03,Drone1,Drone1:9;Drone2:7,11.2,velocity_sent,send,Drone2
d2_recv_d1_03,Drone2,Drone1:9;Drone2:8,12.0,processing,receive,Drone1
d2_compute_03,Drone2,Drone1:9;Drone2:9,12.5,relative_computed,local,
d2_send_d1_03,Drone2,Drone1:9;Drone2:10,13.0,relative_sent,send,Drone1
d1_recv_d2_03,Drone1,Drone1:10;Drone2:10,14.0,relative_confirmed,receive,Drone2
d1_measure_04,Drone1,Drone1:11;Drone2:10,16.0,velocity_measured,local,
d1_send_d2_04,Drone1,Drone1:12;Drone2:10,16.2,velocity_sent,send,Drone2
d2_recv_d1_04,Drone2,Drone1:12;Drone2:11,17.0,processing,receive,Drone1
d2_compute_04,Drone2,Drone1:12;Drone2:12,17.5,relative_computed,local,
d2_send_d1_04,Drone2,Drone1:12;Drone2:13,18.0,relative_sent,send,Drone1
d1_recv_d2_04,Drone1,Drone1:13;Drone2:13,19.0,relative_confirmed,receive,Drone2
