# Generated drone relative-velocity trace
# total_events: 1000
# drone_count: 4
# system_processes: Drone1|Drone2|Drone3|Drone4
eid,processes,vc,timestamp,props,event_type,msg_partner
d1_init,Drone1,Drone1:1;Drone2:0;Drone3:0;Drone4:0,0.0,stable,local,
d2_init,Drone2,Drone1:0;Drone2:1;Drone3:0;Drone4:0,0.0,stable,local,
d3_init,Drone3,Drone1:0;Drone2:0;Drone3:1;Drone4:0,0.0,stable,local,
d4_init,Drone4,Drone1:0;Drone2:0;Drone3:0;Drone4:1,0.0,stable,local,
d1_measure_01,Drone1,Drone1:2;Drone2:0;Drone3:0;Drone4:0,1.0,velocity_measured,local,
d1_send_d2_01,Drone1,Drone1:3;Drone2:0;Drone3:0;Drone4:0,1.2,velocity_sent,send,Drone2
d2_recv_d1_01,Drone2,Drone1:3;Drone2:2;Drone3:0;Drone4:0,2.0,processing,receive,Drone1
d2_compute_01,Drone2,Drone1:3;Drone2:3;Drone3:0;Drone4:0,2.5,relative_computed,local,
d2_send_d1_01,Drone2,Drone1:3;Drone2:4;Drone3:0;Drone4:0,3.0,relative_sent,send,Drone1
d1_recv_d2_01,Drone1,Drone1:4;Drone2:4;Drone3:0;Drone4:0,4.0,relative_confirmed,receive,Drone2
d1_send_d3_01,Drone1,Drone1:5;Drone2:4;Drone3:0;Drone4:0,5.2,velocity_sent,send,Drone3
d3_recv_d1_01,Drone3,Drone1:5;Drone2:4;Drone3:2;Drone4:0,6.0,processing,receive,Drone1
d3_compute_01,Drone3,Drone1:5;Drone2:4;Drone3:3;Drone4:0,6.5,relative_computed,local,
d3_send_d1_01,Drone3,Drone1:5;Drone2:4;Drone3:4;Drone4:0,7.0,relative_sent,send,Drone1
d1_recv_d3_01,Drone1,Drone1:6;Drone2:4;Drone3:4;Drone4:0,8.0,relative_confirmed,receive,Drone3
d1_send_d4_01,Drone1,Drone1:7;Drone2:4;Drone3:4;Drone4:0,9.2,velocity_sent,send,Drone4
d4_recv_d1_01,Drone4,Drone1:7;Drone2:4;Drone3:4;Drone4:2,10.0,processing,receive,Drone1
d4_compute_01,Drone4,Drone1:7;Drone2:4;Drone3:4;Drone4:3,10.5,relative_computed,local,
d4_send_d1_01,Drone4,Drone1:7;Drone2:4;Drone3:4;Drone4:4,11.0,relative_sent,send,Drone1
d1_recv_d4_01,Drone1,Drone1:8;Drone2:4;Drone3:4;Drone4:4,12.0,relative_confirmed,receive,Drone4
d1_measure_02,Drone1,Drone1:9;Drone2:4;Drone3:4;Drone4:4,14.0,velocity_measured,local,
